Title,Yr,Dir,Link,audio,Number,Sektor,Märkus
Ghost of Frankenstein,1942,,http://www.imdb.com/title/tt0034786/,eng/eng,,XBOX,
Giallo,2009,Argento, D.,http://www.imdb.com/title/tt1107816/,eng/-,,,
Giù la testa Fistful of Dynamite,1971,Leone, S.,http://www.imdb.com/title/tt0067140/,,196,KIRV-MAAO,
Golem,1980,Szulkin, P.,http://www.imdb.com/title/tt0080806/,pol/eng,113,RUND-TING,
Gomorra,2008,Garrone, M.,http://www.imdb.com/Title?0929425,ita/eng,,E-HERM,
Goodbye, Lenin!,2003,,http://www.imdb.com/title/tt0301357/,ger/est,,XRET,
Goodfellas 2,1990,Scorsese, M.,http://www.imdb.com/title/tt0099685/,eng,135,RUND-TING,
Gritos en la noche Awful Dr. Orloff,1962,Franco, Jess ,http://www.imdb.com/title/tt0056040/,esp/eng,56,E-HERM,http://jupiter.neetud.com/2008/06/gritos-en-la-noche-1962.html
Gunhed,1989,Harada, Masato,http://www.imdb.com/title/tt0097410/,jap/-eng,118,E-HERM,
Hands of the Ripper,1971,Horror Box,http://www.imdb.com/title/tt0067176/,eng/-,,XBOX,
Hang Em High,1968,Post, T.,http://www.imdb.com/title/tt0061747/,eng/eng,49,PAIS-RUMO,
Happiness,1998,,http://us.imdb.com/Title?0147612,,,XRET,
Hard Times,1978,Hill, Walter,http://www.imdb.com/title/tt0073092/,eng/eng,155,HERN-KIRU,http://jupiter.neetud.com/2009/01/hard-times-1975.html
Highlander,1986,Mulcahy, R.,http://www.imdb.com/title/tt0091203/,eng,22,MAAP-PAIR,
History of the World: Part I,1981,Brooks, M.,http://www.imdb.com/title/tt0082517/,eng/eng,82,A-DYN,
Hitokiri Ginji Ginji the Slasher,2003,Miyasaka, T.,http://www.imdb.com/title/tt0757988/,jap/eng,,XRET,
Hobitit,1993,Torikka, T.,http://www.imdb.com/title/tt0441925/,fin/-,162,TINK-YVER,
Hot Millions,1968,Till, Eric,http://www.imdb.com/title/tt0063094/,eng/-,122,RUND-TING,
House of Dracula,1945,,http://www.imdb.com/title/tt0037793/,eng/fin,,XBOX,
House of Exorcism,1973,Bava, Leone,http://www.imdb.com/title/tt0068863/,ita/eng,,XRET,http://jupiter.neetud.com/2008/10/lisa-and-devil-1973.html
House of Frankenstein,1944,,http://www.imdb.com/title/tt0036931/,eng/eng,,XBOX,
I Coltelli del vendicatore Knives of the Avenger,1966,Bava, M.,http://www.imdb.com/title/tt0059045/,eng/eng,,XBOX,
I Dont Want to Be Born,1975,Horror Box,http://www.imdb.com/title/tt0072867/,eng/-,,XBOX,
I frati rossi Red Monks,1988,Martucci, G.,http://www.imdb.com/title/tt0095175/,eng,15,MAAP-PAIR,
I Hired a Contract Killer,1990,Kaurismäki, A.,http://www.imdb.com/title/tt0099818/,,124,HERN-KIRU,
I Kina spiser de hunde,1999,Olsen, L. S.,http://www.imdb.com/title/tt0180748/,dan/fin,5,MAAP-PAIR,
I tre voltri della paura Black Sabbath,1963,Bava, M.,http://www.imdb.com/title/tt0057603/,ita/eng,,XBOX,http://jupiter.neetud.com/2007/10/black-sabbath-1963.html
Ikiru,1952,Kurosawa, A.,http://www.imdb.com/title/tt0044741/,jpn/eng,,XBOX,
Il Boss,1973,Di Leo, F.,http://www.imdb.com/title/tt0069818/,ita/eng,12,A-DYN,
Il Buono, il brutto, il cattivo The Good, the Bad, the Ugly,1966,Leone, S.,http://www.imdb.com/title/tt0060196/,eng/eng,,XRET,
Il capo dei capi 7,2007,Monteleone/Cahill,http://www.imdb.com/title/tt1047931/,ita/fin,,,Peedu
Il Conformista,1970,Bertolucci, B.,http://www.imdb.com/title/tt0065571/,ita/eng,34,A-DYN,
Il Fiore delle mille e una notte Arabian Nights,1974,Pier Paolo Pasolini,http://us.imdb.com/Title?0071502,ita/ned,,XRET,
Il Mondo dellorrore di Dario Argento World of Horror,1985,DOC,http://www.imdb.com/title/tt0088989/,ita/eng,,XRET,Dokumentaal
In Cold Blood,1967,Brooks, R.,http://www.imdb.com/title/tt0061809/,eng/eng,94,A-DYN,
Inferno,1980,Argento, Dario,http://www.imdb.com/title/tt0080923/,eng,18,A-DYN,
Inka$$o,2004,Olsen, L. S.,http://www.imdb.com/title/tt0400538/,dan/eng/fin,36,MAAP-PAIR,http://jupiter.neetud.com/2008/12/inkasso-2004.html
Inland Empire,2006,Lynch, David,http://www.imdb.com/title/tt0460829/,eng,168,KIRV-MAAO,
Invasion of the Body Snatchers,1956,Siegel, D.,http://www.imdb.com/title/tt0049366/,eng,134,RUND-TING,
Ivanhoe 3,1997,Orme, S.,http://www.imdb.com/title/tt0118354/,eng,11,MAAP-PAIR,
Jigoku 2,1960,Nakagawa,http://www.imdb.com/title/tt0154683/,jap/eng,39,MAAP-PAIR,
Joe Kidd,1972,Sturges, J.,http://www.imdb.com/title/tt0068768/,eng/eng,132,RUND-TING,
Jôi-uchi: Hairyô tsuma shimatsu Samurai Rebellion 2õ,1967,Kobayashi, Masaki,http://www.imdb.com/title/tt0061847/,jap/eng,107,KIRV-MAAO,
Jour de fête,1949,Tati, J.,http://www.imdb.com/title/tt0040497/,fra,145,RUND-TING,
Kagemusha 2,1980,Kurosawa, A.,http://www.imdb.com/title/tt0080979/,jap/eng,161,KIRV-MAAO,2x
Kakushi-toride no san-akunin Hidden Fortress,1958,Kurosawa, A.,http://www.imdb.com/title/tt0051808/,jpn/eng,,XBOX,
Kataude mashin gâru The Machine Girl,2008,Iguchi, N.,http://www.imdb.com/title/tt1050160/,jpn/eng,123,HERN-KIRU,
Kautokeino-opprøret,2008,Gaup, Nils,http://www.imdb.com/title/tt0479937/,nor/eng,112,E-HERM,http://jupiter.neetud.com/2009/01/kautokeino-mss-2008.html Luu
Keoma,1976,Castellari, E.,http://www.imdb.com/title/tt0074740/,eng/fin,37,A-DYN,
Kiba okaminosuke jigoku giri Samurai Wolf II,1967,Gosha, Hideo,http://www.imdb.com/title/tt0199681/,jap/eng,85,E-HERM,
Kobra Verde,1987,Hertzog,http://www.imdb.com/title/tt0094888/,ger/eng,156,HERN-KIRU,
Kolberg,1945,Harlan, V.,http://www.imdb.com/title/tt0036989/,ger/eng hardsub,61,E-HERM,hardsub
Konets operatsii Rezident,1986,Dorman, V. ,http://www.imdb.com/title/tt0266702/,rus/-,32,A-DYN,
Kramer vs. Kramer,1979,,http://www.imdb.com/title/tt0079417/,eng/eng,,XRET,
Kronos,1957,Neumann, Kurt,http://www.imdb.com/title/tt0050610/,eng/-,17,MAAP-PAIR,
Krótki film o zabijaniu Short Film About Killing,1988,Kieslowski, K.,http://www.imdb.com/title/tt0095468/,,160,HERN-KIRU,
Kummeli: Artisti maksaa,1991,Kummeli,http://us.imdb.com/Title?0174404,fin,177,KIRV-MAAO,2x 93/94 season
Kummeli: Kyllä lähtee,1991,Kummeli,http://us.imdb.com/Title?0174404,fin,189,KIRV-MAAO,2x 91/92 season
Kummeli: Lihaksia ja luoteja,1996,Kummeli,http://www.imdb.com/title/tt0115246/,fin/-,163,KIRV-MAAO,2x
Kumonosu jô Throne of Blood,1957,Kurosawa, A.,http://www.imdb.com/title/tt0050613/,jpn/eng,,XBOX,
Kurenai no buta Porco Rosso,1992,Miyazaki, H.,http://www.imdb.com/title/tt0104652/,jap/eng,34,MAAP-PAIR,
Kuudesti laukeava & Muuttuuko ihminen,,,,,,,
Kwaidan 2,1964,Kobayashi, M.,http://www.imdb.com/title/tt0058279/,jap/eng,119,KIRV-MAAO,
LAnimal,1977,Zidi, Claude; o: Belmondo,http://www.imdb.com/title/tt0075683/,fra/rus,177,TINK-YVER,http://jupiter.neetud.com/2008/02/elajas-1977.html
LEclisse,1962,Antonionni, Michelangelo,http://www.imdb.com/title/tt0056736/,,,A-DYN,
LEtà di Cosimo de Medici The Time of Medici,1973,Rossellini, Roberto,http://www.imdb.com/title/tt0069684/,,,PAIS-RUMO,
LÉventreur de Notre-Dame Demoniac,1979,,http://www.imdb.com/title/tt0083155/,eng/-,,XRET,
LOdissea 2,1968,Rossi, Franco,http://www.imdb.com/title/tt0064750/,ita/ita/eng,101,XRET,http://jupiter.neetud.com/2008/12/odsseia-1968.html
LUccello dalle piume di cristallo Bird with the crystal plumage,1970,Dario Argento,http://www.imdb.com/title/tt0065143/,ita/fin,,XRET,
La Bête The Beast,1975,Borowczyk. W.,http://www.imdb.com/title/tt0072752/,fra/eng hardsub,104,A-DYN,Luu
La Cité des enfants perdus City of Lost Children,1995,Jeunet, J. P.,http://www.imdb.com/title/tt0112682/,eng/-,,XRET,
La corta notte delle bambole di vetro Short Night of Glass Dolls,1971,Lado, Aldo,http://www.imdb.com/title/tt0067384/,eng/-,169,KIRV-MAAO,http://jupiter.neetud.com/2008/10/short-night-of-glass-dolls-1971.html
La isla misteriosa,1973,Bardem, J. A.; hardsub,http://www.imdb.com/title/tt0068748/,ger/eng hardsub,146,A-DYN,http://jupiter.neetud.com/2008/08/la-isla-misteriosa-1973.html
La Marca del Hombre-lobo Frankensteins Bloody Terror,1968,Lopez Equilus, E.,http://www.imdb.com/title/tt0063275/,,175,KIRV-MAAO,
La Principessa nuda,1976,Canevari, C.,http://www.imdb.com/title/tt0134906/,ita/eng,20,A-DYN,
La ragazza che sapeva troppo The Girl Who Knew Too Much,1963,Bava, M.,http://www.imdb.com/title/tt0057443/,eng/eng,,XBOX,
La Saga de los Dracula The Dracula Saga,1972,Klimovsky, L.,http://www.imdb.com/title/tt0069208/,esp/eng,167,KIRV-MAAO,http://jupiter.neetud.com/2008/10/dracula-saga-1972.html
La Terza Madre,2007,Argento, D.,http://www.imdb.com/title/tt0804507/,ita/eng,22,A-DYN,http://jupiter.neetud.com/2008/05/la-terza-madre-2007.html
Labyrinth,1986,Henson, Jim,http://www.imdb.com/title/tt0091369/,eng/eng,62,E-HERM,
Lagaan,2001,Gowariker, A.,http://www.imdb.com/title/tt0169102/,hin/,65,E-HERM,
Last House on the Left,1972,Wes Craven,http://www.imdb.com/title/tt0068833/,,84,A-DYN,
